id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_061	23	24	6.108344489	0.254514354	1	16	24	24	0.079982999	-0.046445206	480	480	1.000000000	24	22	0.916666667	480	445	0.927083333	480	0.304345321	0.034920994	4487	4207	0.937597504
case_062	20	24	1.424004763	0.059333532	1	24	24	24	0.027063362	-0.002755560	480	475	0.989583333	24	24	1.000000000	475	441	0.928421053	475	0.426893755	0.328333462	4405	4116	0.934392736
case_063	21	24	4.969460604	0.207060859	1	1	24	24	0.056764755	-0.021836717	480	479	0.997916667	24	23	0.958333333	479	442	0.922755741	479	0.319291364	-0.151291823	4481	4195	0.936174961
case_064	19	24	3.184138261	0.132672428	0	0	24	24	0.047159910	-0.035453596	480	478	0.995833333	24	23	0.958333333	478	444	0.928870293	478	0.381521248	0.295133484	4463	4180	0.936589738
case_065	20	24	3.144930964	0.131038790	1	10	24	24	0.056901638	0.029767254	480	476	0.991666667	24	23	0.958333333	476	446	0.936974790	476	0.327190747	0.145261497	4403	4140	0.940267999
case_066	22	24	6.307713065	0.262821378	1	11	24	24	0.032946294	-0.014631075	480	479	0.997916667	24	21	0.875000000	479	454	0.947807933	479	0.251073835	-0.100886587	4487	4262	0.949855137
case_067	22	24	2.630470478	0.109602937	1	24	24	24	0.026185466	0.005424689	480	478	0.995833333	24	24	1.000000000	478	447	0.935146444	478	0.244152528	-0.072509508	4455	4198	0.942312009
case_068	25	24	3.091633562	0.128818065	1	24	24	24	0.036194387	0.004328760	480	479	0.997916667	24	24	1.000000000	479	442	0.922755741	479	0.367171067	-0.215660658	4464	4194	0.939516129
case_069	25	24	11.000693328	0.458362222	0	0	24	24	0.143258885	-0.095736209	480	477	0.993750000	24	22	0.916666667	477	426	0.893081761	477	0.605460254	-0.297167439	4402	3985	0.905270332
case_070	28	24	1.736395291	0.072349804	1	24	24	24	0.016503587	0.007538938	480	472	0.983333333	24	24	1.000000000	472	429	0.908898305	472	0.385630236	0.145721318	4347	3978	0.915113872
case_071	26	24	4.728111018	0.197004626	0	0	24	24	0.079311619	-0.049504010	480	478	0.995833333	24	23	0.958333333	478	445	0.930962343	478	0.308396713	0.018510528	4439	4159	0.936922730
case_072	23	24	2.310809774	0.096283741	1	24	24	24	0.016438101	0.007048148	480	479	0.997916667	24	24	1.000000000	479	445	0.929018789	479	0.315421409	0.028545976	4478	4173	0.931889236
case_073	21	24	4.043017563	0.168459065	1	24	24	24	0.041084693	-0.000941186	480	475	0.989583333	24	24	1.000000000	475	437	0.920000000	475	0.392594160	0.199248635	4403	4045	0.918691801
case_074	20	24	4.112677301	0.171361554	1	16	24	24	0.026100292	0.001035447	480	480	1.000000000	24	23	0.958333333	480	450	0.937500000	480	0.261980117	0.000560471	4482	4235	0.944890674
case_075	20	24	4.680128646	0.195005360	1	11	24	24	0.039492838	-0.023571655	480	478	0.995833333	24	23	0.958333333	478	441	0.922594142	478	0.340512787	0.106770202	4442	4155	0.935389464
case_076	27	24	3.352386466	0.139682769	1	24	24	24	0.037122552	0.015264183	480	477	0.993750000	24	24	1.000000000	477	443	0.928721174	477	0.352633125	-0.045723989	4423	4062	0.918381189
case_077	25	24	7.880158654	0.328339944	1	24	24	24	0.050557482	-0.026230670	480	479	0.997916667	24	24	1.000000000	479	450	0.939457203	479	0.299584588	0.127495260	4479	4219	0.941951328
case_078	31	24	2.480005739	0.103333572	1	24	24	24	0.029546601	0.003954070	480	479	0.997916667	24	24	1.000000000	479	435	0.908141962	479	0.405678996	-0.064175972	4455	4023	0.903030303
case_079	25	26	20.881762414	0.803144708	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_080	19	39	68.664714836	1.760633714	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_081	19	24	8.045491572	0.335228815	1	24	24	24	0.062927320	0.008749228	480	477	0.993750000	24	24	1.000000000	477	440	0.922431866	477	0.350050896	-0.119389664	4425	4092	0.924745763
case_082	21	24	4.968473699	0.207019737	1	24	24	24	0.029351549	-0.013020732	480	480	1.000000000	24	24	1.000000000	480	454	0.945833333	480	0.243447696	-0.085645094	4502	4236	0.940915149
case_083	25	50	112.918606785	2.258372136	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_084	29	61	105.577700524	1.730781976	1	10	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_085	24	24	5.925141012	0.246880876	1	12	24	24	0.031909061	-0.007770862	480	478	0.995833333	24	23	0.958333333	478	451	0.943514644	478	0.267000725	0.119933770	4446	4197	0.943994602
case_086	22	24	12.153776271	0.506407345	1	2	24	24	0.067467730	-0.016652797	480	479	0.997916667	24	22	0.916666667	479	452	0.943632568	479	0.254350542	0.031200563	4466	4215	0.943797582
case_087	18	24	4.210013468	0.175417228	1	13	24	24	0.029514469	-0.008093259	480	472	0.983333333	24	23	0.958333333	472	445	0.942796610	472	0.277302608	-0.001422027	4345	4090	0.941311853
case_088	19	33	18.445019745	0.558939992	1	11	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	19	24	3.031387271	0.126307803	1	2	24	24	0.037785636	-0.014249425	480	477	0.993750000	24	23	0.958333333	477	442	0.926624738	477	0.364944314	-0.074294181	4429	4134	0.933393543
case_090	23	24	7.645377734	0.318557406	1	18	24	24	0.056904599	-0.049702387	480	480	1.000000000	24	23	0.958333333	480	445	0.927083333	480	0.331600782	0.187308372	4488	4172	0.929590018
case_091	20	24	9.579415164	0.399142299	1	4	24	24	0.063354907	-0.013184964	480	479	0.997916667	24	21	0.875000000	479	447	0.933194154	479	0.293644507	0.128385788	4483	4241	0.946018291
case_092	21	29	42.068619821	1.450642063	1	22	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_093	24	24	6.891896414	0.287162351	1	24	24	24	0.052667384	-0.015151290	480	478	0.995833333	24	24	1.000000000	478	455	0.951882845	478	0.257619263	0.098993514	4460	4240	0.950672646
case_094	22	51	160.099556898	3.139206998	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_095	23	71	239.358397455	3.371245035	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_096	21	51	165.048089220	3.236237044	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_097	23	45	132.354761687	2.941216926	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_098	26	71	179.217472084	2.524189748	1	7	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_099	25	53	155.812739700	2.939863013	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
