id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_046	25	24	1.969768361	0.082073682	1	24	24	24	0.015030410	-0.003438947	480	478	0.995833333	24	24	1.000000000	478	451	0.943514644	478	0.219460861	0.011174692	4448	4220	0.948741007
case_047	22	24	6.988746539	0.291197772	1	4	24	24	0.038244612	-0.003741602	480	479	0.997916667	24	22	0.916666667	479	446	0.931106472	479	0.196770546	-0.064301079	4470	4238	0.948098434
case_048	24	24	4.884213806	0.203508909	1	6	24	24	0.024876906	-0.012298534	480	476	0.991666667	24	23	0.958333333	476	444	0.932773109	476	0.429911905	-0.301444522	4408	4081	0.925816697
case_049	26	24	1.631835036	0.067993127	1	24	24	24	0.012036859	-0.005793280	480	479	0.997916667	24	24	1.000000000	479	451	0.941544885	479	0.242979344	0.112542874	4460	4247	0.952242152
case_050	28	24	6.144523403	0.256021808	1	24	24	24	0.040441663	-0.017292221	480	478	0.995833333	24	24	1.000000000	478	448	0.937238494	478	0.277338971	-0.119434692	4474	4231	0.945686187
case_051	24	24	7.543312867	0.314304703	1	14	24	24	0.037845664	-0.021638475	480	478	0.995833333	24	23	0.958333333	478	451	0.943514644	478	0.221280634	0.083120579	4448	4222	0.949190647
case_052	22	24	6.020943643	0.250872652	1	24	24	24	0.029169797	-0.000449167	480	479	0.997916667	24	24	1.000000000	479	447	0.933194154	479	0.290862912	-0.074197901	4464	4195	0.939740143
case_053	25	29	24.802306434	0.855251946	1	10	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_054	26	24	6.236335751	0.259847323	1	18	24	24	0.038702697	-0.017629933	480	479	0.997916667	24	23	0.958333333	479	457	0.954070981	479	0.226547554	0.107976056	4470	4200	0.939597315
case_055	30	24	5.648259218	0.235344134	0	0	24	24	0.084970053	-0.031765971	480	480	1.000000000	24	23	0.958333333	480	431	0.897916667	480	0.518585373	0.024044422	4496	3921	0.872108541
case_056	24	24	2.258642756	0.094110115	1	24	24	24	0.010666894	-0.006574410	480	477	0.993750000	24	24	1.000000000	477	447	0.937106918	477	0.227044977	0.019718345	4439	4172	0.939851318
case_057	27	24	4.050228229	0.168759510	1	24	24	24	0.024607574	-0.009287012	480	478	0.995833333	24	24	1.000000000	478	450	0.941422594	478	0.232576363	-0.066948869	4446	4254	0.956815115
case_058	28	26	17.396652917	0.669102035	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_059	26	24	7.071789296	0.294657887	1	6	24	24	0.055204671	-0.008583658	480	478	0.995833333	24	22	0.916666667	478	439	0.918410042	478	0.260036180	0.037520492	4453	4227	0.949247698
case_060	23	24	0.809369432	0.033723726	1	24	24	24	0.016356833	0.009685063	480	474	0.987500000	24	24	1.000000000	474	435	0.917721519	474	0.359306122	0.170112330	4379	4051	0.925097054
case_061	23	24	4.782954870	0.199289786	1	24	24	24	0.030703513	0.008779362	480	480	1.000000000	24	24	1.000000000	480	449	0.935416667	480	0.265266250	-0.078458069	4487	4260	0.949409405
case_062	20	24	1.219786211	0.050824425	1	24	24	24	0.024836168	0.005753547	480	475	0.989583333	24	24	1.000000000	475	449	0.945263158	475	0.346136206	-0.140740010	4405	4150	0.942111237
case_063	21	24	5.850446076	0.243768587	1	1	24	24	0.082303181	-0.058544445	480	479	0.997916667	24	23	0.958333333	479	445	0.929018789	479	0.266899296	-0.011068680	4481	4205	0.938406606
case_064	19	24	2.270102511	0.094587605	1	24	24	24	0.011248202	0.002631227	480	478	0.995833333	24	24	1.000000000	478	448	0.937238494	478	0.266641009	-0.139832758	4463	4264	0.955411158
case_065	20	24	4.529504398	0.188729350	1	10	24	24	0.055492280	-0.027923306	480	476	0.991666667	24	23	0.958333333	476	447	0.939075630	476	0.268537915	0.017444467	4403	4141	0.940495117
case_066	22	24	6.331232483	0.263801353	1	10	24	24	0.035989261	-0.015611051	480	479	0.997916667	24	22	0.916666667	479	458	0.956158664	479	0.240279126	-0.077544247	4487	4272	0.952083798
case_067	22	24	3.338001318	0.139083388	1	24	24	24	0.027881538	-0.024055763	480	478	0.995833333	24	24	1.000000000	478	443	0.926778243	478	0.257173315	-0.058427450	4455	4243	0.952413019
case_068	25	24	2.904933333	0.121038889	1	24	24	24	0.016651788	0.012107936	480	479	0.997916667	24	24	1.000000000	479	453	0.945720251	479	0.192029587	-0.092249657	4464	4296	0.962365591
case_069	25	24	8.337001152	0.347375048	1	24	24	24	0.033087717	0.015250965	480	477	0.993750000	24	24	1.000000000	477	430	0.901467505	477	0.544733464	-0.399939399	4402	4023	0.913902771
case_070	28	24	1.864947005	0.077706125	1	24	24	24	0.020912725	0.002182617	480	472	0.983333333	24	24	1.000000000	472	439	0.930084746	472	0.371372239	-0.168168445	4347	4002	0.920634921
case_071	26	24	3.019281718	0.125803405	1	24	24	24	0.033753777	0.021697210	480	478	0.995833333	24	24	1.000000000	478	453	0.947698745	478	0.243647058	-0.001559286	4439	4192	0.944356837
case_072	23	24	2.712953939	0.113039747	1	24	24	24	0.019314182	-0.009707858	480	479	0.997916667	24	24	1.000000000	479	449	0.937369520	479	0.280042435	0.122924072	4478	4232	0.945064761
case_073	21	24	4.741308172	0.197554507	1	13	24	24	0.049809103	-0.030036628	480	475	0.989583333	24	22	0.916666667	475	451	0.949473684	475	0.236694506	-0.019886612	4403	4143	0.940949353
case_074	20	24	3.688854122	0.153702255	1	24	24	24	0.024016537	0.018694746	480	480	1.000000000	24	24	1.000000000	480	454	0.945833333	480	0.199149945	0.050341677	4482	4307	0.960954931
case_075	20	24	4.774920518	0.198955022	1	5	24	24	0.050330545	-0.027521316	480	478	0.995833333	24	22	0.916666667	478	438	0.916317992	478	0.269172238	0.094520120	4442	4165	0.937640702
